#scientific name	type materials and coidentical strains	has sequences from type material?	number of assemblies per taxon	number of assemblies from type materials per taxon	number of assemblies from type materials per species
'Sphingomonas aeria' Park et al. 2015 non Xue et al. 2018	JCM 19859 [['Sphingomonas aeria' Park et al. 2015 non Xue et al. 2018]],JCM:19859 [['Sphingomonas aeria' Park et al. 2015 non Xue et al. 2018]],KCTC 42061 [['Sphingomonas aeria' Park et al. 2015 non Xue et al. 2018]],KCTC:42061 [['Sphingomonas aeria' Park et al. 2015 non Xue et al. 2018]],R1-3 [['Sphingomonas aeria' Park et al. 2015 non Xue et al. 2018]]	yes	0	0	0
'Sphingomonas ginsengisoli' Hoang et al. 2012	DCY58,JCM 18016,JCM:18016,KCTC 2376,KCTC:2376	yes	1	0	0
'Streptomyces viridis' (Lombardo-Pellegrino 1903) Waksman 1953	Baldacci 398,Baldacci:398,IFO 13373,IFO:13373,IPV 398,IPV:398,ISP 5381,ISP:5381,NBRC 13373,NBRC:13373	yes	0	0	0
Abditibacterium utsteinense	BCCM/LMG:29911,DSM 105287,DSM:105287,LMG 29911,LMG:29911,R-68213	yes	1	1	1
Abiotrophia defectiva	ATCC 49176,ATCC:49176,BCCM/LMG:14740,CCUG 27639,CCUG 27804,CCUG:27639,CCUG:27804,CIP 103242,CIP:103242,DSM 9849,DSM:9849,LMG 14740,LMG:14740,SC10	yes	3	2	2
Absicoccus porci	JCM 32769,JCM:32769,KCTC 15747,KCTC:15747,YH-panp20	yes	1	1	1
Absiella argi	N6H1-5	yes	0	0	0
Absiella tortuosum	ATCC 25548,ATCC:25548,DSM 3987,DSM:3987	yes	0	0	0
Abyssibacter profundi	KCTC 52933,KCTC:52933,MCCC 1K03450,MCCC:1K03450,OUC007	yes	1	1	1
Abyssicoccus albus	CCTCC AB 2014213,CCTCC:AB 2014213,DSM 29158,DSM:29158,YIM M12140,culture-collection:CCTCC:AB:2014213	yes	1	1	1
Abyssisolibacter fermentans	KCTC 15524,KCTC:15524,MCWD3	yes	1	1	1
Abyssivirga alkaniphila	DSM 29592,DSM:29592,JCM 30920,JCM:30920,L81	yes	0	0	0
Acanthopleuribacter pedis	FYK2218,KCTC 12899,KCTC:12899,NBRC 101209,NBRC:101209	yes	0	0	0
Acaricomes phytoseiuli	CCUG 49701,CCUG:49701,CSC,DSM 14247,DSM:14247,JCM 14300,JCM:14300	yes	1	1	1
Acaryochloris marina	MBIC 11017,MBIC:11017	yes	1	1	1
Acetanaerobacterium elongatum	AS 1.5012,AS:1.5012,CGMCC 1.5012,CGMCC:1.5012,JCM 12359,JCM:12359,Z7	yes	1	1	1
Acetatifactor muris	ATCC BAA-2170,ATCC:BAA-2170,CT-m2,DSM 23669,DSM:23669,culture-collection:ATCC:BAA:2170	yes	1	0	0
Acetilactobacillus jinshanensis	CICC 6269,CICC:6269,HSLZ-75,JCM 33270,JCM:33270	yes	1	1	1
Acetitomaculum ruminis	139B,ATCC 43876,ATCC:43876,DSM 5522,DSM:5522	yes	1	1	1
Acetivibrio ethanolgignens	77-6,ATCC 33324,ATCC:33324,BCCM/LMG:7055,DSM 3005,DSM:3005,LMG 7055,LMG:7055	yes	2	0	0
Acetoanaerobium noterae	ATCC 35199,ATCC:35199,NOT-3	yes	1	1	1
Acetoanaerobium pronyense	DSM 27512,DSM:27512,JCM 19400,JCM:19400,ST07-YE	yes	0	0	0
Acetoanaerobium sticklandii	ATCC 12662,ATCC:12662,BCRC 14485,BCRC:14485,CCRC 14485,CCRC:14485,CCUG 9281,CCUG:9281,DSM 519,DSM:519,JCM 1433,JCM:1433,NCIMB 10654,NCIMB:10654,StadtmanHF	yes	1	1	1
Acetobacter aceti	ATCC 15973,ATCC:15973,BCCM/LMG:1261,BCCM/LMG:1504,CCUG 18122,CCUG:18122,CIP 103111,CIP:103111,DSM 3508,DSM:3508,ICMP 8807,ICMP:8807,IFO 14818,IFO:14818,JCM 7641,JCM:7641,LMG 1261,LMG 1504,LMG:1261,LMG:1504,NBRC 14818,NBRC:14818,NCCB 23001,NCCB:23001,NCIB 8621,NCIB:8621,NCIMB 8621,NCIMB:8621	yes	8	3	3
Acetobacter ascendens	BCCM/LMG:1590,BCCM/LMG:1591 [[Acetobacter pasteurianus subsp. paradoxus]],CCUG 18128,CCUG:18128,LMD 51.1,LMD 53.6 [[Acetobacter pasteurianus subsp. paradoxus]],LMD:51.1,LMD:53.6 [[Acetobacter pasteurianus subsp. paradoxus]],LMG 1590,LMG 1591 [[Acetobacter pasteurianus subsp. paradoxus]],LMG:1590,LMG:1591 [[Acetobacter pasteurianus subsp. paradoxus]],NCCB 51001,NCCB 53006 [[Acetobacter pasteurianus subsp. paradoxus]],NCCB:51001,NCCB:53006 [[Acetobacter pasteurianus subsp. paradoxus]]	yes	3	2	2
Acetobacter cerevisiae	ATCC 23765,ATCC:23765,BCCM/LMG:1625,DSM 14362,DSM:14362,JCM 17273,JCM:17273,LMG 1625,LMG:1625,NCIB 8894,NCIB:8894,NCIMB 8894,NCIMB:8894	yes	3	1	1
Acetobacter cibinongensis	4H-1,CIP 107380,CIP:107380,DSM 15549,DSM:15549,IFO 16605,IFO:16605,JCM 11196,JCM:11196,NBRC 16605,NBRC:16605	yes	3	2	2
Acetobacter conturbans	na	no	1	0	0
Acetobacter estunensis	ATCC 23753,ATCC:23753,BCCM/LMG:1626,DSM 4493,DSM:4493,IFO 13751,IFO:13751,JCM 21172,JCM:21172,LMG 1626,LMG:1626,NBRC 13751,NBRC:13751,NCIMB 8935,NCIMB:8935	yes	1	1	1
Acetobacter fabarum	985,BCCM/LMG:24244,DSM 19596,DSM:19596,LMG 24244,LMG:24244,R-36330	yes	3	1	1
Acetobacter fallax	na	no	2	0	0
Acetobacter farinalis	BCC 44845,BCC&lt;THA&gt;:44845,G360-1,NBRC 107750,NBRC:107750,culture-collection:BCC:44845	yes	1	0	0
Acetobacter ghanensis	430A,BCCM/LMG:23848,DSM 18895,DSM:18895,LMG 23848,LMG:23848,R-29337	yes	2	2	2
Acetobacter indonesiensis	5H-1,BCCM/LMG:19824,IFO 16471,IFO:16471,JCM 10948,JCM:10948,LMG 19824,LMG:19824,NBRC 16471,NBRC:16471,NRIC 0313,NRIC:0313	yes	4	2	2
Acetobacter lambici	BCCM/LMG:27439,DSM 27328,DSM:27328,LMG 27439,LMG:27439	yes	1	1	1
Acetobacter lovaniensis	ATCC 12875,ATCC:12875,BCCM/LMG:1579,BCCM/LMG:1617,DSM 4491,DSM:4491,IFO 13753,IFO:13753,JCM 17121,JCM:17121,LMG 1579,LMG 1617,LMG:1579,LMG:1617,NBRC 13753,NBRC:13753,NCIMB 8620,NCIMB:8620	yes	2	2	2
Acetobacter malorum	BCCM/LMG:1746,DSM 14337,DSM:14337,JCM 17274,JCM:17274,LMG 1746,LMG:1746	yes	7	1	1
Acetobacter musti	Bo7,CECT 7722,CECT:7722,DSM 23824,DSM:23824	yes	1	0	0
Acetobacter nitrogenifigens	BCCM/LMG:23498,BCRC 80095,BCRC:80095,DSM 23921,DSM:23921,LMG 23498,LMG:23498,MTCC 6912,MTCC:6912,NBRC 105050,NBRC:105050,RG1	yes	2	2	2
Acetobacter oeni	B13,B:13,BCCM/LMG:21952,CECT 5830,CECT:5830,DSM 23926,DSM:23926,LMG 21952,LMG:21952	yes	3	2	2
Acetobacter okinawensis	1-35,BCCM/LMG:26457,JCM 25146,JCM:25146,LMG 26457,LMG:26457	yes	2	1	1
Acetobacter orientalis	21F-2,CIP 107379,CIP:107379,DSM 15550,DSM:15550,IFO 16606,IFO:16606,JCM 11195,JCM:11195,NBRC 16606,NBRC:16606	yes	7	2	2
Acetobacter orleanensis	ATCC 12876,ATCC:12876,BCCM/LMG:1583,CCUG 18126,CCUG:18126,DSM 4492,DSM:4492,IFO 13752,IFO:13752,JCM 7639,JCM:7639,LMG 1583,LMG:1583,NBRC 13752,NBRC:13752,NCCB 31003,NCCB:31003,NCIMB 8622,NCIMB:8622	yes	4	3	3
Acetobacter oryzifermentans	JCM 31096,JCM:31096,KACC 19301,KACC:19301,SLV-7	yes	2	1	1
Acetobacter oryzoeni	B6,JCM 33371,JCM:33371,KACC 21201,KACC:21201	yes	1	1	1
Acetobacter papayae	1-25,BCCM/LMG:26456,JCM 25143,JCM:25143,LMG 26456,LMG:26456	yes	1	1	1
Acetobacter pasteurianus	ATCC 33445,ATCC:33445,BCCM/LMG:1262,CCUG 18125,CCUG:18125,CIP 103108,CIP:103108,DSM 3509,DSM:3509,IFO 3191,IFO:3191,JCM 7640,JCM:7640,KCTC 12289,KCTC:12289,LMD 22.1,LMD:22.1,LMG 1262,LMG:1262,NBRC 106471,NBRC:106471,NCCB 22001,NCCB:22001	yes	30	3	3
Acetobacter peroxydans	ATCC 12874,ATCC:12874,BCCM/LMG:1635,DSM 2347,DSM:2347,IFO 13755,IFO:13755,JCM 25077,JCM:25077,LMG 1635,LMG:1635,NBRC 13755,NBRC:13755,NCCB 88049,NCCB 89009,NCCB:88049,NCCB:89009	yes	2	2	2
Acetobacter persici	BCCM/LMG:26458,JCM 25330,JCM:25330,LMG 26458,LMG:26458,T-120	yes	4	1	1
Acetobacter pomorum	BCCM/LMG:18848,CIP 105762,CIP:105762,DSM 11825,DSM:11825,LHT 2458,LMG 18848,LMG:18848,LTH 2458,LTH:2458	yes	8	1	1
Acetobacter sacchari	BCC:67843,NRIC 0977,NRIC:0977,TBRC 11175,TBRC:11175,VTCC 910031,VTCC:910031,VTH-Ai14	yes	0	0	0
Acetobacter senegalensis	BCCM/LMG:23690,CWBI-B418,DSM 18889,DSM:18889,LMG 23690,LMG:23690	yes	4	1	1
Acetobacter sicerae	BCCM/LMG:1531,LMG 1531,LMG:1531,NCIMB 8941,NCIMB:8941	yes	1	1	1
Acetobacter suratthaniensis	AI32,BCC 26087,BCC&lt;THA&gt;:26087,NBRC 111399,NBRC:111399,culture-collection:BCC:26087	yes	0	0	0
Acetobacter syzygii	9H-2,CIP 107378,CIP:107378,DSM 15548,DSM:15548,IFO 16604,IFO:16604,JCM 11197,JCM:11197,NBRC 16604,NBRC:16604	yes	7	2	2
Acetobacter thailandicus	AD25,BCC 15839,BCC&lt;THA&gt;:15839,NBRC 103583,NBRC:103583,culture-collection:BCC:15839	yes	1	0	0
Acetobacter tropicalis	BCCM/LMG:19825,IFO 16470,IFO:16470,JCM 10947,JCM:10947,LMG 19825,LMG:19825,NBRC 16470,NBRC:16470,NRIC 0312,NRIC:0312,Ni-6b	yes	11	3	3
Acetobacterium bakii	ATCC 51794,ATCC:51794,DSM 8239,DSM:8239,Z-4391	yes	4	2	2
Acetobacterium carbinolicum	DSM 2925,DSM:2925,WoProp 1	yes	0	0	0
Acetobacterium carbinolicum subsp. kysingense	ATCC BAA-990,ATCC:BAA-990,DSM 16427,DSM:16427,SyrA5,culture-collection:ATCC:BAA:990	yes	0	0	0
Acetobacterium dehalogenans	DSM 11527,DSM:11527	yes	1	1	1
Acetobacterium fimetarium	ATCC 51795,ATCC:51795,DSM 8238,DSM:8238,Z-4290	yes	1	0	0
Acetobacterium malicum	ATCC 51201,ATCC:51201,DSM 4132,DSM:4132,MuME1	yes	1	0	0
Acetobacterium paludosum	ATCC 51793,ATCC:51793,DSM 8237,DSM:8237,Z-4092	yes	2	1	1
Acetobacterium psammolithicum	CN-E,SMCC/W 751	yes	0	0	0
Acetobacterium tundrae	DSM 9173,DSM:9173,Z-4493	yes	2	0	0
Acetobacterium wieringae	ATCC 43740,ATCC:43740,BCCM/LMG:7579,C,DSM 1911,DSM:1911,JCM 2380,JCM:2380,LMG 7579,LMG:7579	yes	2	1	1
Acetobacterium woodii	ATCC 29683,ATCC:29683,DSM 1030,DSM:1030,JCM 2381,JCM:2381	yes	1	1	1
Acetobacteroides hydrogenigenes	CGMCC 1.5173,CGMCC:1.5173,DSM 24657,DSM:24657,JCM 17603,JCM:17603,RL-C	yes	1	1	1
Acetofilamentum rigidum	DSM 20769,DSM:20769,MN	no	0	0	0
Acetohalobium arabaticum	ATCC 49924,ATCC:49924,DSM 5501,DSM:5501,Z-7288	yes	1	1	1
Acetomicrobium flavidum	ATCC 43122,ATCC:43122,BCCM/LMG:6941,DSM 20664,DSM:20664,LMG 6941,LMG:6941	yes	2	1	1
Acetomicrobium hydrogeniformans	ATCC BAA-1850,ATCC:BAA-1850,DSM 22491,DSM:22491,OS1,culture-collection:ATCC:BAA:1850	yes	3	1	1
Acetomicrobium mobile	ATCC BAA-54,ATCC:BAA-54,DSM 13181,DSM:13181,NGA,culture-collection:ATCC:BAA:54	yes	1	1	1
Acetomicrobium thermoterrenum	ACM 5076,ACM:5076,DSM 13490,DSM:13490,RWcit,RWcit2	yes	1	1	1
Acetonema longum	APO-1,ATCC 51454,ATCC:51454,DSM 6540,DSM:6540	yes	1	1	1
Acetothermus paucivorans	DSM 20768,DSM:20768,TN	no	0	0	0
Acholeplasma axanthum	ATCC 25176,ATCC:25176,NCTC 10138,NCTC:10138	yes	2	2	2
Acholeplasma brassicae	0502,ATCC 49388,ATCC:49388	yes	1	0	0
Acholeplasma cavigenitalium	ATCC 49901,ATCC:49901,GP3,NCTC 11727,NCTC:11727	yes	0	0	0
Acholeplasma equifetale	ATCC 29724,ATCC:29724,C112,NCTC 10171,NCTC:10171	yes	1	1	1
Acholeplasma equirhinis	ATCC TSD-139,ATCC:TSD-139,DSM 106692,DSM:106692,N93,NCTC 14351,NCTC:14351	yes	0	0	0
Acholeplasma granularum	ATCC 19168,ATCC:19168,BTS-39,NBRC 14847,NBRC:14847,NCTC 10128,NCTC:10128	yes	1	1	1
Acholeplasma hippikon	ATCC 29725,ATCC:29725,C1,NCTC 10172,NCTC:10172	yes	2	2	2
Acholeplasma laidlawii	ATCC 23206,ATCC:23206,CIP 75.27,CIP:75.27,DSM 23060,DSM:23060,IFO 14400,IFO:14400,NBRC 14400,NBRC:14400,NCTC 10116,NCTC:10116,PG-8,PG-8A,PG8,PG8-A	yes	15	3	3
Acholeplasma modicum	ATCC 29102,ATCC:29102,NCTC 10134,NCTC:10134	yes	1	1	1
Acholeplasma morum	72-043,ATCC 33211,ATCC:33211,NCTC 10188,NCTC:10188	yes	0	0	0
Acholeplasma multilocale	ATCC 49900,ATCC:49900,NCTC 11723,NCTC:11723,PN525	yes	1	1	1
Acholeplasma oculi	ATCC 27350,ATCC:27350,NCTC 10150,NCTC:10150	yes	3	2	2
Acholeplasma palmae	ATCC 49389,ATCC:49389,J233	yes	1	1	1
Acholeplasma parvum	ATCC 29892,ATCC:29892,H23M,NCTC 10198,NCTC:10198	yes	0	0	0
Acholeplasma pleciae	ATCC 49582,ATCC:49582,NBRC 100476,NBRC:100476,PS-1	yes	0	0	0
Acholeplasma vituli	ATCC 700667,ATCC:700667,CIP 107001,CIP:107001,FC 097-2	yes	0	0	0
Achromobacter aegrifaciens	BCCM/LMG:26852,CCUG 62438,CCUG:62438,LMG 26852,LMG:26852	yes	5	1	1
Achromobacter agilis	BCCM/LMG:3411,CCUG 62454,CCUG:62454,LMG 3411,LMG:3411,NCIB 9986,NCIB:9986,NCIMB:9986	yes	1	1	1
Achromobacter aloeverae	AVA-1,BCCM/LMG:29108,LMG 29108,LMG:29108,NBRC 111463,NBRC:111463,PCU 352,PCU:352,PCU&lt;THA&gt;:352,TISTR 2383,TISTR:2383	yes	1	1	1
Achromobacter animicus	AU15230,AU:15230,BCCM/LMG:26690,CCUG 61966,CCUG:61966,LMG 26690,LMG:26690,R-46662	yes	3	1	1
Achromobacter anxifer	BCCM/LMG:26857,CCUG 62444,CCUG:62444,LMG 26857,LMG:26857	yes	2	1	1
Achromobacter arsenitoxydans	na	no	1	0	0
Achromobacter deleyi	BCCM/LMG:3458,CCUG 62433,CCUG:62433,LMG 3458,LMG:3458	yes	5	1	1
Achromobacter denitrificans	ATCC 15173,ATCC:15173,BCCM/LMG:1231,CCUG 407,CCUG:407,CIP 77.15,CIP:77.15,DSM 30026,DSM:30026,IFO 15125,IFO:15125,JCM 5490,JCM 9657,JCM:5490,JCM:9657,LMG 1231,LMG:1231,NBRC 15125,NBRC:15125,NCTC 8582,NCTC:8582	yes	15	4	4
Achromobacter dolens	BCCM/LMG:26840,CCUG 62421,CCUG:62421,LMG 26840,LMG:26840	yes	6	1	1
Achromobacter insolitus	API 201-3-84,API:201-3-84,BCCM/LMG:6003,CCM 7182,CCM:7182,CCUG 47057,CCUG:47057,DSM 23807,DSM:23807,Gilardi 3038,LMG 6003,LMG:6003,NCTC 13520,NCTC:13520	yes	17	4	4
Achromobacter insuavis	BCCM/LMG:26845,CCUG 62426,CCUG:62426,LMG 26845,LMG:26845	yes	4	1	1
Achromobacter kerstersii	BCCM/LMG:3441,CCUG 62449,CCUG:62449,Holding CS8,LMG 3441,LMG:3441	yes	2	1	1
Achromobacter marplatensis	AU14580 [[Achromobacter spiritinus]],AU:14580 [[Achromobacter spiritinus]],B2,BCCM/LMG:26219,BCCM/LMG:26692 [[Achromobacter spiritinus]],CCM 7608,CCM:7608,CCUG 56371,CCUG 61968 [[Achromobacter spiritinus]],CCUG:56371,CCUG:61968 [[Achromobacter spiritinus]],CECT 7342,CECT:7342,LMG 26219,LMG 26692 [[Achromobacter spiritinus]],LMG:26219,LMG:26692 [[Achromobacter spiritinus]],R-46660 [[Achromobacter spiritinus]]	yes	4	3	3
Achromobacter mucicolens	AU13054,AU:13054,BCCM/LMG:26685,CCUG 61961,CCUG:61961,LMG 26685,LMG:26685,R-46658	yes	5	1	1
Achromobacter panacis	CCTCC:AB 2015193,CCTCCAB 2015193,CCTCCAB:2015193,DCY105,KCTC 42751,KCTC:42751	yes	0	0	0
Achromobacter pestifer	ATCC 15445,ATCC:15445,BCCM/LMG:3431,CCUG 61959,CCUG:61959,LMG 3431,LMG:3431	yes	2	1	1
Achromobacter piechaudii	ATCC 43552,ATCC:43552,BCCM/LMG:1873,CCUG 724,CCUG:724,CIP 60.75,CIP:60.75,DSM 10342,DSM:10342,Hugh 366-5,IAM 12591,IAM:12591,JCM 20668,JCM:20668,LMG 1873,LMG:1873,NBRC 102461,NBRC:102461,NCTC 11970,NCTC:11970	yes	7	2	2
Achromobacter pulmonis	BCCM/LMG:26696,CCUG 61972,CCUG:61972,E38/27-S,LMG 26696,LMG:26696,R-16442	yes	3	1	1
Achromobacter ruhlandii	ATCC 15749,ATCC:15749,BCCM/LMG:1866,CIP 77.26,CIP:77.26,DSM 653,DSM:653,LMG 1866,LMG:1866,VKM B-1333,VKM:B-1333,culture-collection:VKM:B:1333	yes	15	1	1
Achromobacter spanius	API 198-2-84,API:198-2-84,BCCM/LMG:5911,CCUG 47062,CCUG:47062,DSM 23806,DSM:23806,LMG 5911,LMG:5911	yes	7	2	2
Achromobacter veterisilvae	BCCM/LMG:30378,CCUG 71558,CCUG:71558,LMG 30378,LMG:30378	yes	1	1	1
Achromobacter xylosoxidans	ATCC 27061,ATCC:27061,BCCM/LMG:1863,CCUG 12689,CCUG:12689,CIP 71.32,CIP:71.32,DSM 10346,DSM 2402,DSM:10346,DSM:2402,Hugh 2838,IFO 15126,IFO:15126,JCM 9659,JCM:9659,KM 543,LMG 1863,LMG:1863,NBRC 15126,NBRC:15126,NCTC 10807,NCTC:10807,NRRL B-4082,NRRL:B-4082,Yabuuchi KM 543,culture-collection:NRRL:B:4082	yes	81	3	3
Acidaminobacter hydrogenoformans	CIP 106102,CIP:106102,DSM 2784,DSM:2784,glu 65	yes	1	1	1
Acidaminococcus fermentans	ATCC 25085,ATCC:25085,CCUG 9996,CCUG:9996,CIP 106432,CIP:106432,DSM 20731,DSM:20731,VR4	yes	8	1	1
Acidaminococcus intestini	ADV 255.99,AIP 283.01,AIP:283.01,CCUG 50930,CCUG:50930,CIP 108586,CIP:108586,DSM 21505,DSM:21505	yes	6	1	1
Acidaminococcus massiliensis	CSUR:P2828,Marseille-P2828,culture-collection:CSUR P2828	yes	2	1	1
Acidaminococcus provencensis	CSUR P4266,CSUR:P4266,Marseille-P4266	yes	1	1	1
Acidaminococcus timonensis	CSUR:P2764,Marseille-P2764,culture-collection:CSUR P2764	yes	1	1	1
Acidianus ambivalens	CIP 104912,CIP:104912,DSM 3772,DSM:3772,JCM 9191,JCM:9191,Lei 10	yes	2	2	2
Acidianus brierleyi	DSM 1651,DSM:1651,IFO 15269,IFO:15269,JCM 8954,JCM:8954,NBRC 15269,NBRC:15269	yes	1	1	1
Acidianus hospitalis	na	no	2	0	0
Acidianus infernus	DSM 3191,DSM:3191,IFO 15270,IFO:15270,JCM 8955,JCM:8955,NBRC 15270,NBRC:15270,So4a	yes	1	1	1
Acidianus manzaensis	ATCC BAA 1057,ATCC:BAA-1057,NA-1,NBRC 100595,NBRC:100595,culture-collection:ATCC:BAA:1057	no	1	0	0
Acidianus sulfidivorans	DSM 18786,DSM:18786,JCM 13667,JCM:13667,JP7	yes	1	1	1
Acidianus tengchongensis	S5	yes	0	0	0
Acidibacillus ferrooxidans	SLC66	yes	4	2	2
Acidibacillus sulfuroxidans	Y002	yes	1	1	1
Acidibacter ferrireducens	DSM 27237,DSM:27237,MCF85,NCCB 100460,NCCB:100460	yes	0	0	0
Acidibrevibacterium fodinaquatile	CGMCC 1.16069,CGMCC:1.16069,G45-3,KCTC 62275,KCTC:62275	yes	1	1	1
Acidicaldus organivorans	ATCC BAA-1105,ATCC:BAA-1105,DSM 16953,DSM:16953,Y008,culture-collection:ATCC:BAA:1105	yes	1	0	0
Acidicapsa acidiphila	DSM 29819,DSM:29819,MCF10,NCCB 100576,NCCB:100576	yes	0	0	0
Acidicapsa acidisoli	DSM 100508,DSM:100508,NBRC 111227,NBRC:111227,SK-11	yes	0	0	0
Acidicapsa borealis	BCCM/LMG:25897,DSM 23886,DSM:23886,KA1,LMG 25897,LMG:25897,VKM B-2678,VKM:B-2678,culture-collection:VKM:B:2678	yes	0	0	0
Acidicapsa dinghuensis	4GSKX,BCCM/LMG:29213,CGMCC 1.15449,CGMCC:1.15449,LMG 29213,LMG:29213	yes	0	0	0
Acidicapsa ferrireducens	DSM 28997,DSM:28997,MCF9,NCCB 100575,NCCB:100575	yes	0	0	0
Acidicapsa ligni	BCCM/LMG:26244,DSM 25248,DSM:25248,LMG 26244,LMG:26244,NCCB 100371,NCCB:100371,VKM B-2677,VKM:B-2677,WH120,culture-collection:VKM:B:2677	yes	0	0	0
Acidiferrimicrobium australe	DSM 106828,DSM:106828,RGM 2506,RGM:2506,USS-CCA1	yes	1	0	0
Acidiferrobacter thiooxydans	DSM 2392,DSM:2392,JCM 17358,JCM:17358,m-1	yes	2	1	1
Acidihalobacter ferrooxidans	na	no	1	0	0
Acidihalobacter prosperus	DSM 5130,DSM:5130,JCM 30709,JCM:30709	yes	3	1	1
Acidilobus aceticus	1904,ATCC BAA-268,ATCC:BAA-268,DSM 11585,DSM:11585,JCM 11320,JCM:11320,culture-collection:ATCC:BAA:268	yes	0	0	0
Acidilobus saccharovorans	345-15,DSM 16705,DSM:16705,VKM B-2471,VKM:B-2471,culture-collection:VKM:B:2471	yes	1	1	1
Acidilobus sulfurireducens	18D70	yes	0	0	0
Acidimangrovimonas indica	20V17,CGMCC 1.10859,CGMCC:1.10859,DSM 24802,DSM:24802,JCM 17871,JCM:17871,MCCC 1A01802,MCCC:1A01802	yes	2	2	2
Acidimangrovimonas pyrenivorans	CICC 24263,CICC:24263,KCTC 62192,KCTC:62192,PrR001	yes	0	0	0
Acidimangrovimonas sediminis	MCCC 1K02682,MCCC:1K02682,MS2-2,NBRC 112978,NBRC:112978	yes	1	1	1
Acidimicrobium ferrooxidans	DSM 10331,DSM:10331,ICP,JCM 15462,JCM:15462,NBRC 103882,NBRC:103882	yes	1	1	1
Acidiphilium acidophilum	ATCC 27807,ATCC:27807,CIP 104483,CIP:104483,DSM 700,DSM:700	yes	0	0	0
Acidiphilium angustum	ATCC 35903,ATCC:35903,KLB,NCCB 86036,NCCB:86036	yes	1	1	1
Acidiphilium cryptum	ATCC 33463,ATCC:33463,DSM 2389,DSM:2389,IFO 14242,IFO:14242,JCM 21277,JCM:21277,Lhet2,NBRC 14242,NBRC:14242	yes	1	0	0
Acidiphilium iwatense	KCTC 23505,KCTC:23505,MS8,NBRC 107608,NBRC:107608	yes	0	0	0
Acidiphilium multivorum	AIU 301,DSM 11245,DSM:11245,JCM 8867,JCM:8867,NBRC 100785,NBRC 100883,NBRC:100785,NBRC:100883	yes	2	2	2
Acidiphilium organovorum	ATCC 43141,ATCC:43141,NCCB 86037,NCCB:86037	yes	0	0	0
Acidiphilium rubrum	ATCC 35905,ATCC:35905,OP	yes	1	1	1
Acidipila dinghuensis	CGMCC 1.13007,CGMCC:1.13007,DHOF10,KCTC 42631,KCTC:42631	yes	2	2	2
Acidipila rosea	AP8,DSM 103428,DSM:103428,KCTC 23427,KCTC:23427,NBRC 107607,NBRC:107607	yes	1	1	1
Acidiplasma aeolicum	DSM 18409,DSM:18409,JCM 14615,JCM:14615,V	yes	2	2	2
Acidiplasma cupricumulans	BH2,DSM 16651,DSM:16651,JCM 13668,JCM:13668	yes	2	2	2
Acidipropionibacterium acidipropionici	ATCC 25562,ATCC:25562,CGMCC 1.2230,CGMCC:1.2230,CIP 103025,CIP:103025,DSM 4900,DSM:4900,KCTC 5020,KCTC:5020,NCIB 11858,NCIB:11858,NCIMB 11858,NCIMB:11858,VPI 399,VPI:399	yes	8	2	2
Acidipropionibacterium damnosum	CECT 8062,CECT:8062,DSM 25450,DSM:25450,IGBL13	yes	0	0	0
Acidipropionibacterium jensenii	ATCC 4868,ATCC:4868,CCUG 48883,CCUG:48883,CIP 103028,CIP:103028,DSM 20535,DSM:20535	yes	5	1	1
